scaling,grid_size,processes,method,runs,iterations,mean_runtime,sd_runtime,cv_percent,cg_runs,cg_iterations,cg_mean_runtime,cg_sd_runtime,cg_cv_percent,runtime_ratio_vs_CG
strong,2048,2,AS2,10,1112,110.1324,0.15872281919539272,0.144120003918368,10,3826,57.54123,1.4066041913851324,2.4445153351520856,1.9139736846084106
strong,2048,2,BJ,10,1215,102.44839999999999,0.2037886704952524,0.19891835352748546,10,3826,57.54123,1.4066041913851324,2.4445153351520856,1.7804346552897807
strong,2048,4,AS1,10,1069,53.91884,0.07857996917507303,0.1457374994993828,10,3826,29.90314,0.6267789654699294,2.0960306023712874,1.8031163282518157
strong,2048,4,AS2,10,1115,56.40272,0.1870256476766982,0.3315897667287999,10,3826,29.90314,0.6267789654699294,2.0960306023712874,1.8861805148221893
strong,2048,4,BJ,10,1146,48.68491,0.15882217484413663,0.3262246450576506,10,3826,29.90314,0.6267789654699294,2.0960306023712874,1.6280868831835051
strong,2048,8,AS1,10,1066,27.90659,0.04696699668679883,0.1683007371620783,10,3826,15.333100000000002,0.3067911921088277,2.000842570053203,1.8200226959975476
strong,2048,8,AS2,10,1106,29.11736,0.04372109076610224,0.15015472132810886,10,3826,15.333100000000002,0.3067911921088277,2.000842570053203,1.898987158500238
strong,2048,8,BJ,10,1110,23.70288,0.037959475467632356,0.16014710224087686,10,3826,15.333100000000002,0.3067911921088277,2.000842570053203,1.545863524010148
strong,2048,16,AS1,10,1066,14.86299,0.04283597786907646,0.28820565625810457,10,3826,7.412069000000001,0.029760215967705214,0.401510239147871,2.005241721306156
strong,2048,16,AS2,10,1036,14.6405,0.030894659732711285,0.21102188950316783,10,3826,7.412069000000001,0.029760215967705214,0.401510239147871,1.9752244616179366
strong,2048,16,BJ,10,1079,11.5284,0.010482154146718253,0.09092462220879093,10,3826,7.412069000000001,0.029760215967705214,0.401510239147871,1.555355191647568
strong,2048,32,AS1,10,1072,8.030229,0.009194768379657674,0.11450194483442096,10,3826,3.447123,0.014785181808523971,0.4289136711548724,2.329545246862384
strong,2048,32,AS2,10,1101,8.500517,0.013578937980072972,0.15974249542790128,10,3826,3.447123,0.014785181808523971,0.4289136711548724,2.465974379214203
strong,2048,32,BJ,10,1102,5.874987,0.011060880063438598,0.18827071555117653,10,3826,3.447123,0.014785181808523971,0.4289136711548724,1.7043160339796404
strong,2048,64,AS1,10,1083,5.646178000000001,0.04730542999135154,0.8378310069457876,10,3826,2.08943,0.023891307112745987,1.1434365885789897,2.702257553495451
strong,2048,64,AS2,10,1103,6.060693,0.016617305604566354,0.2741816093401589,10,3826,2.08943,0.023891307112745987,1.1434365885789897,2.900644194828254
strong,2048,64,BJ,10,1147,4.129378,0.18531025298731366,4.487606922575595,10,3826,2.08943,0.023891307112745987,1.1434365885789897,1.976317943171104
strong,2048,128,AS1,10,1101,2.354991,0.006705041966891795,0.2847162459173642,10,3826,1.1115519999999999,0.023604048993528366,2.1235217959689128,2.1186512191962232
strong,2048,128,AS2,10,1095,2.581373,0.0410169577532675,1.5889589669244815,10,3826,1.1115519999999999,0.023604048993528366,2.1235217959689128,2.3223142057231696
strong,2048,128,BJ,10,1233,2.25318,0.03807817514301617,1.6899748419130372,10,3826,1.1115519999999999,0.023604048993528366,2.1235217959689128,2.0270576635191158
weak,256,1,AS1,10,102,0.2731071,0.00029898288691272836,0.10947459326862186,10,470,0.15405400000000002,0.0010631567251455575,0.6901195198732636,1.7728010957196825
weak,256,1,AS2,10,102,0.2730969,0.0002763550252845069,0.1011930290254144,10,470,0.15405400000000002,0.0010631567251455575,0.6901195198732636,1.7727348851701348
