scaling,n,unknowns,processes,method,overlap,iterations,relative_residual,runtime,run_id,job_id
strong,2048,4194304,4,BJ,0,1146,9.85032e-09,69.3171,5,211478
strong,2048,4194304,8,AS,1,1066,9.93073e-09,27.8962,1,211485
strong,2048,4194304,8,AS,1,1066,9.93073e-09,27.9512,2,211485
strong,2048,4194304,8,AS,1,1066,9.93073e-09,27.9808,3,211485
strong,2048,4194304,8,AS,1,1066,9.93073e-09,28.0194,4,211485
strong,2048,4194304,8,AS,1,1066,9.93073e-09,27.8525,5,211485
strong,2048,4194304,8,AS,2,1106,9.51073e-09,29.1907,1,211485
strong,2048,4194304,8,AS,2,1106,9.51073e-09,29.1386,2,211485
strong,2048,4194304,8,AS,2,1106,9.51073e-09,29.1159,3,211485
strong,2048,4194304,8,AS,2,1106,9.51073e-09,29.1538,4,211485
strong,2048,4194304,8,AS,2,1106,9.51073e-09,29.293,5,211485
strong,2048,4194304,8,BJ,0,1110,8.89002e-09,23.8253,1,211485
strong,2048,4194304,8,BJ,0,1110,8.89002e-09,23.7413,2,211485
strong,2048,4194304,8,BJ,0,1110,8.89002e-09,23.7896,3,211485
strong,2048,4194304,8,BJ,0,1110,8.89002e-09,23.7546,4,211485
strong,2048,4194304,8,BJ,0,1110,8.89002e-09,23.7867,5,211485
strong,2048,4194304,16,AS,1,1066,9.85554e-09,14.9367,1,211486
strong,2048,4194304,16,AS,1,1066,9.85554e-09,14.9774,2,211486
strong,2048,4194304,16,AS,1,1066,9.85554e-09,14.9646,3,211486
strong,2048,4194304,16,AS,1,1066,9.85554e-09,14.9147,4,211486
strong,2048,4194304,16,AS,1,1066,9.85554e-09,14.9879,5,211486
strong,2048,4194304,16,AS,2,1036,8.97052e-09,14.7072,1,211486
strong,2048,4194304,16,AS,2,1036,8.97052e-09,14.678,2,211486
strong,2048,4194304,16,AS,2,1036,8.97052e-09,14.6562,3,211486
strong,2048,4194304,16,AS,2,1036,8.97052e-09,14.7243,4,211486
strong,2048,4194304,16,AS,2,1036,8.97052e-09,14.7234,5,211486
strong,2048,4194304,16,BJ,0,1079,9.60647e-09,11.5489,1,211486
strong,2048,4194304,16,BJ,0,1079,9.60647e-09,11.5464,2,211486
strong,2048,4194304,16,BJ,0,1079,9.60647e-09,11.5686,3,211486
strong,2048,4194304,16,BJ,0,1079,9.60647e-09,11.5461,4,211486
strong,2048,4194304,16,BJ,0,1079,9.60647e-09,11.544,5,211486
strong,2048,4194304,32,AS,1,1072,9.48762e-09,8.51338,1,211487
strong,2048,4194304,32,AS,1,1072,9.48762e-09,8.51774,2,211487
strong,2048,4194304,32,AS,1,1072,9.48762e-09,8.51073,3,211487
strong,2048,4194304,32,AS,1,1072,9.48762e-09,8.51467,4,211487
strong,2048,4194304,32,AS,1,1072,9.48762e-09,8.51607,5,211487
strong,2048,4194304,32,AS,2,1101,9.99227e-09,9.01475,1,211487
strong,2048,4194304,32,AS,2,1101,9.99227e-09,9.01036,2,211487
strong,2048,4194304,32,AS,2,1101,9.99227e-09,8.98677,3,211487
strong,2048,4194304,32,AS,2,1101,9.99227e-09,8.99122,4,211487
strong,2048,4194304,32,AS,2,1101,9.99227e-09,8.99204,5,211487
strong,2048,4194304,32,BJ,0,1102,9.23498e-09,6.26376,1,211487
strong,2048,4194304,32,BJ,0,1102,9.23498e-09,6.25622,2,211487
strong,2048,4194304,32,BJ,0,1102,9.23498e-09,6.25698,3,211487
strong,2048,4194304,32,BJ,0,1102,9.23498e-09,6.2655,4,211487
strong,2048,4194304,32,BJ,0,1102,9.23498e-09,6.26618,5,211487
strong,2048,4194304,64,AS,1,1083,9.25241e-09,5.75821,1,211488
strong,2048,4194304,64,AS,1,1083,9.25241e-09,5.78872,2,211488
strong,2048,4194304,64,AS,1,1083,9.25241e-09,5.69052,3,211488
strong,2048,4194304,64,AS,1,1083,9.25241e-09,5.78744,4,211488
strong,2048,4194304,64,AS,1,1083,9.25241e-09,5.9038,5,211488
strong,2048,4194304,64,AS,2,1103,9.39658e-09,6.18141,1,211488
strong,2048,4194304,64,AS,2,1103,9.39658e-09,6.18665,2,211488
strong,2048,4194304,64,AS,2,1103,9.39658e-09,6.17988,3,211488
strong,2048,4194304,64,AS,2,1103,9.39658e-09,6.33474,4,211488
strong,2048,4194304,64,AS,2,1103,9.39658e-09,6.24212,5,211488
strong,2048,4194304,64,BJ,0,1147,8.75946e-09,4.42153,1,211488
strong,2048,4194304,64,BJ,0,1147,8.75946e-09,4.31009,2,211488
strong,2048,4194304,64,BJ,0,1147,8.75946e-09,4.28653,3,211488
strong,2048,4194304,64,BJ,0,1147,8.75946e-09,4.40653,4,211488
strong,2048,4194304,64,BJ,0,1147,8.75946e-09,4.39297,5,211488
strong,2048,4194304,128,AS,1,1101,9.158e-09,2.35774,1,211489
strong,2048,4194304,128,AS,1,1101,9.158e-09,2.36259,2,211489
strong,2048,4194304,128,AS,1,1101,9.158e-09,2.35441,3,211489
strong,2048,4194304,128,AS,1,1101,9.158e-09,2.36437,4,211489
strong,2048,4194304,128,AS,1,1101,9.158e-09,2.45147,5,211489
strong,2048,4194304,128,AS,2,1095,9.60991e-09,2.56673,1,211489
strong,2048,4194304,128,AS,2,1095,9.60991e-09,2.59048,2,211489
strong,2048,4194304,128,AS,2,1095,9.60991e-09,2.5568,3,211489
strong,2048,4194304,128,AS,2,1095,9.60991e-09,2.59094,4,211489
strong,2048,4194304,128,AS,2,1095,9.60991e-09,2.5639,5,211489
strong,2048,4194304,128,BJ,0,1233,8.66811e-09,2.24536,1,211489
strong,2048,4194304,128,BJ,0,1233,8.66811e-09,2.25155,2,211489
strong,2048,4194304,128,BJ,0,1233,8.66811e-09,2.23676,3,211489
strong,2048,4194304,128,BJ,0,1233,8.66811e-09,2.32281,4,211489
strong,2048,4194304,128,BJ,0,1233,8.66811e-09,2.21597,5,211489
