scaling,grid_size,unknowns,processes,local_unknowns,method,overlap,sgs_sweeps,repeats,mean_iterations,std_iterations,min_iterations,max_iterations,mean_relative_residual,std_relative_residual,max_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,mean_time_per_iteration,std_time_per_iteration,mean_spmv_time,std_spmv_time,mean_halo_time,std_halo_time,mean_preconditioner_time,std_preconditioner_time,mean_reduction_time,std_reduction_time,mean_vector_time,std_vector_time,mean_preconditioner_time_per_iteration,mean_reduction_time_per_iteration,cv_total_time
strong,1024,1048576,1,1048576,AS2,2,4,5,383.0,0.0,383,383,9.32925e-09,0.0,9.32925e-09,26.98114,0.7232016084052915,26.1028,27.8292,0.07044684073107049,0.0018882548522331372,2.389008,0.03977133409882047,0.0036560300000000002,0.0044069396538550425,21.511000000000003,0.6835226199622071,0.001242984,8.516574959454064e-05,1.531958,0.036871113571466774,0.0561644908616188,3.2453890339425586e-06,0.02680396782364613
strong,1024,1048576,2,524288,BJ,0,4,5,628.0,0.0,628,628,8.39677e-09,0.0,8.39677e-09,17.29374,0.13474406257791063,17.1182,17.4512,0.0275378025477707,0.0002145606092004943,1.70333,0.03384644146730932,0.2651096,0.060319268863606085,13.55414,0.11641406444240325,0.7392388000000001,0.11303660544336955,1.047458,0.022761567960050598,0.021583025477707005,0.001177131847133758,0.007791493487117919
strong,1024,1048576,2,524288,AS1,1,4,5,618.0,0.0,618,618,7.69727e-09,0.0,7.69727e-09,19.83418,0.10602277868458339,19.7285,20.0374,0.03209414239482201,0.0001715578943116226,1.90353,0.04100245992620443,0.2262794,0.04731921768837687,15.77216,0.06484938241803098,0.275868,0.04722382930258833,1.093342,0.022961776412115817,0.025521294498381874,0.0004463883495145631,0.005345458127564809
strong,1024,1048576,2,524288,AS2,2,4,5,583.0,0.0,583,583,9.14869e-09,0.0,9.14869e-09,18.54724,0.40457462896232227,17.7658,18.8836,0.03181344768439108,0.000693953051393349,1.791956,0.05053167189001369,0.20119959999999998,0.034846957747269716,14.78516,0.2699614239108991,0.2043548,0.0546272440505651,1.0062402000000001,0.04783700505006561,0.025360480274442536,0.0003505228130360206,0.02181319856551823
strong,1024,1048576,4,262144,BJ,0,4,5,577.0,0.0,577,577,9.65072e-09,0.0,9.65072e-09,5.58887,0.007684719903809112,5.57971,5.60224,0.009686083188908146,1.3318405379218253e-05,0.37600920000000004,0.003475251035536844,0.005712526,0.004976425603195933,4.645174,0.004733326948352368,0.015618370000000001,0.011409044913471066,0.2685708,0.005909007273645883,0.008050561525129982,2.7068232235701907e-05,0.001375004232306193
strong,1024,1048576,4,262144,AS1,1,4,5,553.0,0.0,553,553,9.99784e-09,0.0,9.99784e-09,6.628677999999999,0.009384042625649094,6.61397,6.64152,0.011986759493670885,1.6969335670251414e-05,0.6595428,0.004925554035842069,0.008283944,0.009929227999740161,5.41663,0.006624394311935121,0.01178446,0.006846979185050879,0.2628454,0.0073496735056735735,0.00979499095840868,2.131005424954792e-05,0.0014156733251561014
strong,1024,1048576,4,262144,AS2,2,4,5,578.0,0.0,578,578,9.9035e-09,0.0,9.9035e-09,6.965752,0.010196863047035582,6.9504,6.97893,0.012051474048442907,1.7641631569265557e-05,0.6869558,0.012065884358802736,0.017883838,0.017709109213774023,5.7029179999999995,0.005480811618729498,0.015703426,0.01104001781982004,0.27286960000000005,0.010179675861244302,0.009866640138408305,2.7168557093425605e-05,0.0014638567446896733
strong,1024,1048576,8,131072,BJ,0,4,5,579.0,0.0,579,579,8.96287e-09,0.0,8.96287e-09,2.810796,0.002295531311047521,2.80831,2.81472,0.004854569948186529,3.9646482056090425e-06,0.1789252,0.0012231254064894593,0.003285556,0.0012731202997768908,2.341424,0.0007250544807115607,0.0132818,0.0031460618169387583,0.1340908,0.0015122943364305793,0.004043910189982729,2.2939205526770294e-05,0.0008166837120330046
strong,1024,1048576,8,131072,AS1,1,4,5,538.0,0.0,538,538,9.82574e-09,0.0,9.82574e-09,3.170206,0.0034209624376774646,3.16527,3.17579,0.005892576208178439,6.358666241036143e-06,0.2860858,0.0014118754052677694,0.0054026560000000005,0.0056144699886154885,2.611544,0.0049635656538419524,0.017342760000000002,0.0037223670676600398,0.1209422,0.005798552902233454,0.0048541710037174725,3.223561338289963e-05,0.0010790978370735103
strong,1024,1048576,8,131072,AS2,2,4,5,572.0,0.0,572,572,9.5219e-09,0.0,9.5219e-09,3.40875,0.003183061419451421,3.40415,3.41311,0.0059593531468531465,5.564792691348741e-06,0.3030634,0.0028380991244140855,0.010625886000000001,0.006850973322200577,2.8200220000000003,0.005035007050640572,0.01994018,0.003006657589018077,0.1246438,0.00545786751030107,0.0049301083916083914,3.486045454545454e-05,0.0009337913955119681
strong,1024,1048576,16,65536,BJ,0,4,5,571.0,0.0,571,571,9.18973e-09,0.0,9.18973e-09,2.219878,0.19033176060762963,1.94823,2.53846,0.0038877022767075304,0.0003333305789976001,0.18288480000000001,0.0270527323233717,0.036970152,0.018140430837144304,1.6264980000000002,0.025410798806806478,0.4016398,0.19305559606641812,0.07977502,0.0008241415058107451,0.0028485078809106826,0.0007033971978984237,0.08573973912423549
strong,1024,1048576,16,65536,AS1,1,4,5,556.0,0.0,556,556,9.88594e-09,0.0,9.88594e-09,2.580398,0.14055470599023004,2.30248,2.68644,0.0046410035971223024,0.00025279623379537765,0.22170959999999998,0.01359502133282622,0.028156419999999998,0.009666748546310697,2.004384,0.05028116331192031,0.3953022,0.12848174306320725,0.08496965999999999,0.007472290016480891,0.0036050071942446043,0.0007109751798561151,0.05447016545131023
