scaling,grid_size,processes,method,runs,iterations,max_relative_residual,mean_total_time,std_total_time,min_total_time,max_total_time,cv_pct,repeat_check,residual_check,iteration_limit_check,iteration_consistency_check,timing_nonnegative_check,halo_check,phase_check,quality_check,cv_status,job_ids
weak,512,4,BJ,5,299,9.16747e-09,0.7148566,0.0003780484625018,0.714205,0.715288,0.0528845173286285,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216368
weak,724,8,AS1,5,454,9.39962e-09,1.297562,0.0025238256675134,1.29383,1.30097,0.1945052080373398,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216369
weak,724,8,AS2,5,449,8.97536e-09,1.30604,0.0017768849146751,1.30338,1.30817,0.136051339520622,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216369
weak,724,8,BJ,5,462,7.77661e-09,1.114312,0.0013862957837344,1.11229,1.11597,0.124408225320598,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216369
weak,1024,16,AS1,5,556,9.88594e-09,1.6450020000000003,0.0022611448427732,1.64199,1.64816,0.1374554464233615,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216370
weak,1024,16,AS2,5,551,9.87306e-09,1.6710439999999998,0.0019776814708137,1.66844,1.67321,0.1183500536678728,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216370
weak,1024,16,BJ,5,571,9.18973e-09,1.394858,0.0037839101469247,1.39025,1.40028,0.2712756529284524,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216370
weak,1448,32,AS1,5,959,9.15483e-09,3.0817360000000003,0.0035337719224647,3.07884,3.08841,0.1146682234449915,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216673
weak,1448,32,AS2,5,960,9.97051e-09,3.2037280000000004,0.0029719044399173,3.20136,3.20922,0.0927639437529436,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216673
weak,1448,32,BJ,5,1025,9.50055e-09,2.600532,0.0026066791133546,2.59661,2.60452,0.1002363790699245,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216673
weak,2048,64,AS1,5,1083,9.25241e-09,5.63061,0.01754615855393991,5.61378,5.66331,0.3116209176970153,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216783
weak,2048,64,AS2,5,1103,9.39658e-09,6.097404,0.050273063403775166,6.06622,6.19724,0.8244994657361586,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216783
weak,2048,64,BJ,5,1147,8.75946e-09,4.116894,0.05625334286955758,4.04857,4.18985,1.3664025080450837,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,216783
weak,2896,128,AS1,5,1900,9.50243e-09,10.35894,0.0508903370002598,10.2981,10.4144,0.4912697341644978,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,213719
weak,2896,128,AS2,5,1909,9.94903e-09,11.18242,0.0266454799168642,11.149,11.2195,0.2382800853202105,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,213719
weak,2896,128,BJ,5,2135,9.62245e-09,7.794987999999999,0.0939303383151578,7.7263,7.98052,1.2050094023898157,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,accepted,213719
