scaling,grid_size,processes,method,n_CG,n_M,R_T,R_T_ci_lower,R_T_ci_upper,R_k,R_k_ci_lower,R_k_ci_upper,R_C,R_C_ci_lower,R_C_ci_upper,runtime_conclusion,screening_RT_le_1_20,bootstrap_seed,bootstrap_samples,ci_level
strong,1024,2,AS2,5,5,3.39698515287426,3.32304280534527,3.44989233154162,0.307165437302424,0.307165437302424,0.307165437302424,11.0591386280538,10.818413798534,11.231381895825,CG_faster,False,20260802,10000,0.95
strong,1024,4,BJ,5,5,2.01995716391273,2.01157705763557,2.02756645751862,0.304004214963119,0.304004214963119,0.304004214963119,6.64450380780998,6.61693805093989,6.66953403183769,CG_faster,False,20260802,10000,0.95
strong,1024,4,AS1,5,5,2.39576973759824,2.38595233426536,2.40471129713918,0.291359325605901,0.291359325605901,0.291359325605901,8.22273230011115,8.18903712556177,8.25342141405093,CG_faster,False,20260802,10000,0.95
strong,1024,4,AS2,5,5,2.51759669744321,2.5074460584296,2.52701066465322,0.304531085353003,0.304531085353003,0.304531085353003,8.26712548745192,8.23379345830342,8.29803848012426,CG_faster,False,20260802,10000,0.95
strong,1024,8,BJ,5,5,2.00543382872309,1.97786618082551,2.03601323717129,0.305057955742887,0.305057955742887,0.305057955742887,6.57394370797311,6.48357514888917,6.67418501580503,CG_faster,False,20260802,10000,0.95
strong,1024,8,AS1,5,5,2.26186402585635,2.23074941278845,2.29692649895445,0.28345626975764,0.28345626975764,0.28345626975764,7.9795872138947,7.86981856035775,8.1032834479843,CG_faster,False,20260802,10000,0.95
strong,1024,8,AS2,5,5,2.43205930407608,2.39823720781708,2.46943216289892,0.301369863013699,0.301369863013699,0.301369863013699,8.07001496352519,7.95778709866577,8.19402490416461,CG_faster,False,20260802,10000,0.95
strong,1024,16,BJ,5,5,3.22645149606569,2.99215531089891,3.48809034813425,0.300842992623815,0.300842992623815,0.300842992623815,10.7247021708103,9.94590329262019,11.5943878822396,CG_faster,False,20260802,10000,0.95
strong,1024,16,AS1,5,5,3.75044438818031,3.54210589242309,3.88952617436364,0.292939936775553,0.292939936775553,0.292939936775553,12.8027759869896,12.091577309027,13.2775551779536,CG_faster,False,20260802,10000,0.95
strong,1024,16,AS2,5,5,3.77120818063773,3.59498620155926,3.90689669148379,0.290305584826133,0.290305584826133,0.290305584826133,12.9904775441931,12.383455191578,13.4578764436229,CG_faster,False,20260802,10000,0.95
strong,1024,32,BJ,5,5,2.02137439426741,2.01124944246775,2.03215875492412,0.314014752370917,0.314014752370917,0.314014752370917,6.43719563812004,6.40495208356341,6.47153912222481,CG_faster,False,20260802,10000,0.95
strong,1024,32,AS1,5,5,2.12637190887273,2.11546027113156,2.1378776609964,0.296101159114858,0.296101159114858,0.296101159114858,7.18123466733174,7.14438362029841,7.22009217183483,CG_faster,False,20260802,10000,0.95
strong,1024,32,AS2,5,5,2.28161076768913,2.25636532194667,2.31774919529781,0.300842992623815,0.300842992623815,0.300842992623815,7.58405820853585,7.50014252373868,7.70418208874825,CG_faster,False,20260802,10000,0.95
strong,1024,64,BJ,5,5,2.07976372532392,2.0624465841065,2.09984579084617,0.33508956796628,0.33508956796628,0.33508956796628,6.20659048846666,6.15491134690901,6.2665209292862,CG_faster,False,20260802,10000,0.95
strong,1024,64,AS1,5,5,2.16447014926437,2.14539079704218,2.18178595574949,0.298735511064278,0.298735511064278,0.298735511064278,7.24543975891317,7.18157272096306,7.30340342859351,CG_faster,False,20260802,10000,0.95
strong,1024,64,AS2,5,5,2.49864888169306,2.35944046478326,2.70753981377778,0.298208640674394,0.298208640674394,0.298208640674394,8.37886144426401,7.9120459402096,9.07934729072477,CG_faster,False,20260802,10000,0.95
strong,2048,1,BJ,5,5,1.33462265299193,1.32210693239803,1.34814732970093,0.199686356508102,0.199686356508102,0.199686356508102,6.68359459469521,6.62091770072624,6.75132419297876,CG_faster,False,20260802,10000,0.95
strong,2048,1,AS1,5,5,1.53622800330551,1.52127026339912,1.55090611284516,0.199686356508102,0.199686356508102,0.199686356508102,7.69320463435456,7.61829846566102,7.76671045516435,CG_faster,False,20260802,10000,0.95
strong,2048,1,AS2,5,5,1.54245081772932,1.52745954407237,1.55652120068787,0.199686356508102,0.199686356508102,0.199686356508102,7.72436757674395,7.64929347594358,7.79482999192645,CG_faster,False,20260802,10000,0.95
strong,2048,2,BJ,5,5,2.31188545628671,2.28899454067841,2.33114136928292,0.317564035546262,0.317564035546262,0.317564035546262,7.28006070432342,7.20797787048196,7.34069701965139,CG_faster,False,20260802,10000,0.95
strong,2048,2,AS1,5,5,2.52185584816187,2.49208938274981,2.55251871348291,0.300575013068479,0.300575013068479,0.300575013068479,8.39010476092808,8.29107302469634,8.49211878068314,CG_faster,False,20260802,10000,0.95
strong,2048,2,AS2,5,5,2.45522076255161,2.4108081679467,2.51953325450635,0.29064296915839,0.29064296915839,0.29064296915839,8.44754913446265,8.29474105266554,8.66882574796881,CG_faster,False,20260802,10000,0.95
strong,2048,4,BJ,5,5,1.57136953190129,1.55625686001491,1.58560326474523,0.299529534762154,0.299529534762154,0.299529534762154,5.246125505283,5.19567080839184,5.29364580359096,CG_faster,False,20260802,10000,0.95
strong,2048,4,AS1,5,5,1.74222752912763,1.72500150075932,1.7582043242962,0.279404077365395,0.279404077365395,0.279404077365395,6.23551218563358,6.17385944050997,6.29269386787394,CG_faster,False,20260802,10000,0.95
