crossover_rank,scaling,grid_size,processes,method,R_T,R_T_ci_lower,R_T_ci_upper,runtime_penalty_pct,ci_lower_runtime_penalty_pct,R_k,R_k_ci_lower,R_k_ci_upper,iteration_change_pct,iteration_reduction_pct,R_C,R_C_ci_lower,R_C_ci_upper,per_iteration_cost_change_pct,decomposition_pattern,runtime_conclusion,screening_RT_le_1_20
38,strong,1024,32,AS2,2.28161076768913,2.25636532194667,2.31774919529781,128.161076768913,125.636532194667,0.300842992623815,0.300842992623815,0.300842992623815,-69.9157007376185,69.9157007376185,7.58405820853585,7.50014252373868,7.70418208874825,658.405820853585,iteration_gain_but_per_iteration_penalty,CG_faster,False
39,strong,512,1,AS1,2.29100392457765,2.20884890376665,2.37110949027298,129.100392457765,120.884890376665,0.213602550478215,0.213602550478215,0.213602550478215,-78.6397449521785,78.6397449521785,10.7255457364556,10.3409294449971,11.1005673151586,972.55457364556,iteration_gain_but_per_iteration_penalty,CG_faster,False
40,strong,2048,2,BJ,2.31188545628671,2.28899454067841,2.33114136928292,131.188545628671,128.899454067841,0.317564035546262,0.317564035546262,0.317564035546262,-68.2435964453738,68.2435964453738,7.28006070432342,7.20797787048196,7.34069701965139,628.006070432342,iteration_gain_but_per_iteration_penalty,CG_faster,False
41,strong,512,16,AS2,2.3152862133138,2.29404427294804,2.33518731004452,131.52862133138,129.404427294804,0.307120085015941,0.307120085015941,0.307120085015941,-69.2879914984059,69.2879914984059,7.53870009248541,7.46953515863011,7.60349916523146,653.870009248541,iteration_gain_but_per_iteration_penalty,CG_faster,False
42,strong,2048,128,AS2,2.32272921324737,2.26719145775763,2.3737078309886,132.272921324737,126.719145775763,0.286199686356508,0.286199686356508,0.286199686356508,-71.3800313643492,71.3800313643492,8.11576435605885,7.92171188801888,8.29388690535377,711.576435605885,iteration_gain_but_per_iteration_penalty,CG_faster,False
43,strong,2048,32,AS1,2.33268025032848,2.32178230411763,2.34559832307935,133.268025032848,132.178230411763,0.280188186095139,0.280188186095139,0.280188186095139,-71.9811813904861,71.9811813904861,8.32540544566862,8.28651035033029,8.37151043293058,732.540544566862,iteration_gain_but_per_iteration_penalty,CG_faster,False
44,weak,256,1,AS1,2.37669508067873,2.33683031200208,2.41422885236696,137.669508067873,133.683031200208,0.217021276595745,0.217021276595745,0.217021276595745,-78.2978723404255,78.2978723404255,10.951438116853,10.767747516088,11.1243878491419,995.1438116853,iteration_gain_but_per_iteration_penalty,CG_faster,False
45,weak,256,1,AS2,2.39054271021586,2.33769486290081,2.43975123461221,139.054271021586,133.769486290081,0.217021276595745,0.217021276595745,0.217021276595745,-78.2978723404255,78.2978723404255,11.0152458215829,10.7717312310135,11.241990983017,1001.52458215829,iteration_gain_but_per_iteration_penalty,CG_faster,False
46,weak,1024,16,AS1,2.39090579028715,2.36623992028252,2.41477112146447,139.090579028715,136.623992028252,0.292939936775553,0.292939936775553,0.292939936775553,-70.7060063224447,70.7060063224447,8.16176113303059,8.07756001564069,8.24322947579058,716.176113303059,iteration_gain_but_per_iteration_penalty,CG_faster,False
47,strong,1024,4,AS1,2.39576973759824,2.38595233426536,2.40471129713918,139.576973759824,138.595233426536,0.291359325605901,0.291359325605901,0.291359325605901,-70.8640674394099,70.8640674394099,8.22273230011115,8.18903712556177,8.25342141405093,722.273230011115,iteration_gain_but_per_iteration_penalty,CG_faster,False
