scaling,grid_size,processes,method,n_CG,n_M,T_CG_mean_s,T_M_mean_s,k_CG_mean,k_M_mean,C_CG_s_per_iter,C_M_s_per_iter,R_T,R_k,R_C,R_k_times_R_C,identity_abs_error,identity_pass,screening_RT_le_1_20
weak,724,8,AS2,5,5,0.45773659999999994,1.3060399999999999,1336.0,449.0,0.0003426172155688622,0.002908775055679287,2.8532566545913087,0.33607784431137727,8.489868353082379,2.8532566545913087,0.0,True,False
weak,1024,16,BJ,5,5,0.6880246,1.394858,1898.0,571.0,0.000362499789251844,0.002442833625218914,2.027337394622227,0.30084299262381453,6.738855297711011,2.0273373946222275,4.440892098500626e-16,True,False
weak,1024,16,AS1,5,5,0.6880246,1.6450020000000003,1898.0,556.0,0.000362499789251844,0.0029586366906474825,2.39090579028715,0.2929399367755532,8.161761133030595,2.39090579028715,0.0,True,False
weak,1024,16,AS2,5,5,0.6880246,1.6710439999999998,1898.0,551.0,0.000362499789251844,0.003032747731397459,2.428756181101664,0.2903055848261328,8.366205502234044,2.428756181101664,0.0,True,False
weak,1448,32,BJ,5,5,1.0112700000000001,2.6005320000000003,2694.0,1025.0,0.0003753786191536749,0.002537104390243903,2.5715506244623096,0.38047512991833704,6.758787690050207,2.5715506244623096,0.0,True,False
weak,1448,32,AS1,5,5,1.0112700000000001,3.0817360000000003,2694.0,959.0,0.0003753786191536749,0.003213489051094891,3.0473918933618123,0.35597624350408313,8.560660855804716,3.0473918933618123,0.0,True,False
weak,1448,32,AS2,5,5,1.0112700000000001,3.2037280000000004,2694.0,960.0,0.0003753786191536749,0.0033372166666666672,3.1680243654019202,0.35634743875278396,8.89026837540914,3.1680243654019202,0.0,True,False
weak,2048,64,BJ,5,5,2.0517719999999997,4.116894,3826.0,1147.0,0.0005362707788813382,0.003589271142109852,2.0065065709055396,0.29979090433873495,6.693020174616037,2.0065065709055396,0.0,True,False
weak,2048,64,AS1,5,5,2.0517719999999997,5.63061,3826.0,1083.0,0.0005362707788813382,0.005199085872576177,2.7442669068492993,0.2830632514375327,9.694889368056712,2.7442669068492993,0.0,True,False
weak,2048,64,AS2,5,5,2.0517719999999997,6.097404,3826.0,1103.0,0.0005362707788813382,0.005528018132366274,2.971774641626848,0.2882906429691584,10.308259092352058,2.971774641626848,0.0,True,False
weak,2896,128,BJ,7,5,3.1082185714285715,7.794988000000001,5429.0,2135.0,0.0005725213798910612,0.0036510482435597193,2.507863530465085,0.39325842696629215,6.377138691754074,2.5078635304650856,4.440892098500626e-16,True,False
weak,2896,128,AS1,7,5,3.1082185714285715,10.35894,5429.0,1900.0,0.0005725213798910612,0.005452073684210527,3.3327579003682866,0.3499723706023209,9.522917179526015,3.332757900368287,4.440892098500626e-16,True,False
weak,2896,128,AS2,7,5,3.1082185714285715,11.18242,5429.0,1909.0,0.0005725213798910612,0.00585773703509691,3.5976942235630607,0.3516301344630687,10.231472990950161,3.5976942235630607,0.0,True,False
